Feature,Importance
qualifying_position,8030.206424057484
qualify_pos_minus4,339.47567600011826
final_pos_minus1,229.57083189487457
constructor_race_points3,171.12820053100586
constructor_race_points22,154.6192910671234
final_pos_minus2,146.96633887290955
constructor_season_points1,146.47273617982864
final_pos_minus20,143.40831011533737
qualify_pos_minus8,138.40163624286652
constructor_race_points1,124.70734977722168
constructor_race_points5,124.64476013183594
qualify_pos_minus21,120.32800483703613
constructor_race_points4,116.18534171581268
wins2,109.14759802818298
qualify_pos_minus1,107.10357904434204
final_pos_minus5,100.4766109585762
final_pos_minus12,91.97352170944214
qualify_pos_minus9,87.70107901096344
constructor_race_points11,85.30544006824493
alt17,85.01762008666992
alt,84.43080043792725
final_pos_minus14,83.88714933395386
driver_race_points14,76.7359350323677
qualify_pos_minus3,74.70118999481201
driver_race_points7,74.62287092208862
alt16,73.67920994758606
alt18,72.13114023208618
alt2,71.42406940460205
race_day,71.32540023326874
qualify_pos_minus18,70.93308782577515
qualify_pos_minus17,68.47968184947968
wins7,67.69889998435974
driver_race_points21,65.15281045436859
driver_race_points4,65.03510069847107
constructor_season_points10,63.22651970386505
constructor_race_points19,62.018980622291565
alt9,61.54491984844208
constructor_race_points21,61.193039894104004
qualify_pos_minus20,61.03725004196167
constructor_race_points17,59.3883798122406
constructor_race_points9,59.02942943572998
final_pos_minus9,58.22600042819977
driver_race_points2,58.14153003692627
constructor_race_points20,57.73222029209137
constructor_race_points23,56.828190207481384
qualify_pos_minus22,55.26789331436157
alt15,55.03240966796875
constructor_race_points12,53.54672992229462
alt4,52.96298921108246
constructor_season_points14,52.870710372924805
qualify_pos_minus6,52.00499051809311
alt21,51.819119930267334
qualify_pos_minus11,51.40563976764679
constructor_season_points22,51.273359298706055
driver_race_points24,50.48649978637695
alt12,50.421290040016174
driver_race_points23,49.81476974487305
raceId,49.55610930919647
driver_race_points15,49.391690731048584
final_status22,49.11574971675873
final_pos_minus7,48.871821224689484
driver_race_points19,48.56732964515686
driver_race_points16,48.50164008140564
alt11,48.25942063331604
qualify_pos_minus5,48.21098971366882
driver_race_points22,48.00103747844696
driverId,47.92383003234863
final_pos_minus16,47.610549449920654
wins8,47.18085992336273
constructor_season_points16,46.86354959011078
constructor_season_points4,46.736769676208496
constructor_season_points19,46.704789876937866
alt5,46.020269989967346
alt6,45.81642007827759
constructor_race_points16,44.984699964523315
final_status19,44.42908012866974
driver_race_points3,44.02095067501068
driver_race_points1,43.532328963279724
final_pos_minus21,43.20629096031189
constructor_race_points14,42.7301607131958
alt19,41.780619859695435
constructor_race_points6,41.192500591278076
driver_race_points8,41.13357996940613
final_pos_minus13,40.758699893951416
qualify_pos_minus15,40.21741986274719
qualify_pos_minus7,39.99633002281189
driver_age,39.72672998905182
constructor_season_points18,39.713669776916504
final_status10,39.68744993209839
alt20,39.34020972251892
alt24,38.854760587215424
final_pos_minus11,38.7343875169754
constructor_season_points8,37.92717957496643
alt13,36.775280237197876
qualify_pos_minus24,36.278849959373474
constructor_season_points21,35.61628031730652
final_pos_minus3,35.46600168943405
alt3,34.90840029716492
qualify_pos_minus10,33.97597050666809
constructorId6,33.1021294593811
constructor_race_points8,32.99229049682617
constructor_race_points18,32.79821878671646
final_status23,32.79459410905838
constructor_race_points2,32.74820053577423
final_status15,32.71905040740967
qualify_pos_minus23,32.54391002655029
driver_race_points13,32.530789494514465
alt14,32.18402981758118
alt7,32.0665500164032
final_pos_minus6,31.911569833755493
final_pos_minus4,31.543479919433594
constructor_season_points23,31.538800477981567
qualify_pos_minus14,31.239559769630432
driver_race_points11,29.568289756774902
constructor_season_points12,29.54345965385437
constructor_race_points10,29.466359615325928
constructor_season_points2,29.235169887542725
constructor_season_points5,29.202000498771667
final_pos_minus24,29.059069871902466
final_pos_minus15,28.261550545692444
qualify_pos_minus16,27.526861310005188
final_pos_minus19,26.98728197813034
constructorId20,26.529980421066284
final_status21,25.971200227737427
constructorId16,25.744730234146118
driver_race_points5,25.464809775352478
final_status20,25.455849766731262
qualify_pos_minus12,23.929940938949585
final_status13,23.752050042152405
alt1,23.69531011581421
constructor_race_points13,23.67580020427704
alt22,21.779390335083008
constructorId17,21.74413013458252
constructor_season_points11,20.649109840393066
final_status5,20.606810092926025
qualify_pos_minus13,20.428809881210327
driver_race_points12,19.866740107536316
constructor_season_points20,19.764340043067932
final_status17,19.724950551986694
constructor_season_points3,19.718949913978577
alt23,19.127179861068726
final_pos_minus10,18.90952968597412
alt8,18.72008967399597
final_pos_minus23,18.70175015926361
final_status16,18.486500024795532
final_pos_minus8,18.182050108909607
constructor_season_points15,17.047719597816467
alt10,16.985849976539612
driver_race_points20,16.831239938735962
circuitId,16.250529527664185
final_pos_minus22,15.898630976676941
constructor_season_points7,15.820449829101562
race_month,15.796080112457275
constructorId23,15.677539825439453
wins9,15.039390087127686
qualify_pos_minus2,14.866699814796448
final_status8,14.641049981117249
constructor_season_points9,14.417159676551819
final_status7,14.039730072021484
wins20,13.938139796257019
driver_race_points18,13.577469944953918
final_status18,13.540539860725403
constructorId24,13.52258038520813
final_pos_minus17,13.089749813079834
driver_race_points10,12.227669954299927
constructor_season_points24,11.64357042312622
constructorId22,11.642170190811157
wins18,11.575928807258606
constructor_season_points17,11.202379941940308
driver_race_points6,11.067129850387573
qualify_pos_minus19,11.021990060806274
constructorId7,11.01615023612976
constructorId,11.004590272903442
constructorId18,10.797959804534912
driver_race_points9,10.380510330200195
wins10,10.25246000289917
constructor_race_points24,10.082470059394836
wins22,9.619920253753662
constructor_race_points7,9.558169960975647
wins1,9.370629787445068
constructor_race_points15,9.253440141677856
constructorId3,8.201069831848145
constructorId11,7.752220153808594
constructor_season_points13,6.922380089759827
final_status1,6.732889771461487
final_status6,6.666829943656921
wins23,6.451910018920898
constructorId2,5.368649959564209
constructorId19,5.3259899616241455
wins3,5.178879976272583
final_status12,4.917690932750702
final_status14,4.8007800579071045
final_status4,4.410399973392487
constructorId14,4.393249988555908
constructor_season_points6,4.004539966583252
final_pos_minus18,3.4736900329589844
wins4,3.269429922103882
constructorId1,3.2494399547576904
wins19,2.6875600814819336
final_status11,2.6862800121307373
wins21,2.6787800788879395
final_status9,2.4774569869041443
wins15,2.300869941711426
final_status24,1.6052000522613525
wins5,1.441480040550232
wins13,1.4226700067520142
wins24,1.0886000394821167
driver_race_points17,0.995710015296936
constructorId10,0.0
final_status2,0.0
wins16,0.0
year,0.0
wins17,0.0
constructorId15,0.0
constructorId4,0.0
final_status3,0.0
constructorId9,0.0
constructorId5,0.0
wins14,0.0
constructorId13,0.0
wins6,0.0
constructorId12,0.0
wins12,0.0
constructorId8,0.0
wins11,0.0
constructorId21,0.0
