driverId,driver_age,circuitId,alt,raceId,year,race_month,race_day,qualifying_position,constructorId,qualify_pos_minus1,final_pos_minus1,driver_race_points1,wins1,final_status1,alt1,constructorId1,constructor_race_points1,constructor_season_points1,qualify_pos_minus2,final_pos_minus2,driver_race_points2,wins2,final_status2,alt2,constructorId2,constructor_race_points2,constructor_season_points2,qualify_pos_minus3,final_pos_minus3,driver_race_points3,wins3,final_status3,alt3,constructorId3,constructor_race_points3,constructor_season_points3,qualify_pos_minus4,final_pos_minus4,driver_race_points4,wins4,final_status4,alt4,constructorId4,constructor_race_points4,constructor_season_points4,qualify_pos_minus5,final_pos_minus5,driver_race_points5,wins5,final_status5,alt5,constructorId5,constructor_race_points5,constructor_season_points5,qualify_pos_minus6,final_pos_minus6,driver_race_points6,wins6,final_status6,alt6,constructorId6,constructor_race_points6,constructor_season_points6,qualify_pos_minus7,final_pos_minus7,driver_race_points7,wins7,final_status7,alt7,constructorId7,constructor_race_points7,constructor_season_points7,qualify_pos_minus8,final_pos_minus8,driver_race_points8,wins8,final_status8,alt8,constructorId8,constructor_race_points8,constructor_season_points8,qualify_pos_minus9,final_pos_minus9,driver_race_points9,wins9,final_status9,alt9,constructorId9,constructor_race_points9,constructor_season_points9,qualify_pos_minus10,final_pos_minus10,driver_race_points10,wins10,final_status10,alt10,constructorId10,constructor_race_points10,constructor_season_points10,qualify_pos_minus11,final_pos_minus11,driver_race_points11,wins11,final_status11,alt11,constructorId11,constructor_race_points11,constructor_season_points11,qualify_pos_minus12,final_pos_minus12,driver_race_points12,wins12,final_status12,alt12,constructorId12,constructor_race_points12,constructor_season_points12,qualify_pos_minus13,final_pos_minus13,driver_race_points13,wins13,final_status13,alt13,constructorId13,constructor_race_points13,constructor_season_points13,qualify_pos_minus14,final_pos_minus14,driver_race_points14,wins14,final_status14,alt14,constructorId14,constructor_race_points14,constructor_season_points14,qualify_pos_minus15,final_pos_minus15,driver_race_points15,wins15,final_status15,alt15,constructorId15,constructor_race_points15,constructor_season_points15,qualify_pos_minus16,final_pos_minus16,driver_race_points16,wins16,final_status16,alt16,constructorId16,constructor_race_points16,constructor_season_points16,qualify_pos_minus17,final_pos_minus17,driver_race_points17,wins17,final_status17,alt17,constructorId17,constructor_race_points17,constructor_season_points17,qualify_pos_minus18,final_pos_minus18,driver_race_points18,wins18,final_status18,alt18,constructorId18,constructor_race_points18,constructor_season_points18,qualify_pos_minus19,final_pos_minus19,driver_race_points19,wins19,final_status19,alt19,constructorId19,constructor_race_points19,constructor_season_points19,qualify_pos_minus20,final_pos_minus20,driver_race_points20,wins20,final_status20,alt20,constructorId20,constructor_race_points20,constructor_season_points20,qualify_pos_minus21,final_pos_minus21,driver_race_points21,wins21,final_status21,alt21,constructorId21,constructor_race_points21,constructor_season_points21,qualify_pos_minus22,final_pos_minus22,driver_race_points22,wins22,final_status22,alt22,constructorId22,constructor_race_points22,constructor_season_points22,qualify_pos_minus23,final_pos_minus23,driver_race_points23,wins23,final_status23,alt23,constructorId23,constructor_race_points23,constructor_season_points23,qualify_pos_minus24,final_pos_minus24,driver_race_points24,wins24,final_status24,alt24,constructorId24,constructor_race_points24,constructor_season_points24,Top_3_finish
1,28,1,10.0,880,2013,3,17,3,131,1.0,20.0,190.0,4.0,4.0,785.0,1.0,25.0,378.0,2.0,1.0,190.0,4.0,1.0,161.0,1.0,35.0,353.0,1.0,21.0,165.0,3.0,10.0,3.0,1.0,12.0,318.0,3.0,4.0,165.0,3.0,1.0,194.0,1.0,22.0,306.0,3.0,10.0,153.0,3.0,1.0,0.0,1.0,1.0,284.0,9.0,5.0,152.0,3.0,1.0,45.0,1.0,22.0,283.0,1.0,24.0,142.0,3.0,6.0,18.0,1.0,18.0,261.0,1.0,1.0,142.0,3.0,1.0,162.0,1.0,25.0,243.0,8.0,23.0,117.0,2.0,4.0,401.0,1.0,25.0,218.0,1.0,1.0,117.0,2.0,1.0,264.0,1.0,33.0,193.0,8.0,24.0,92.0,1.0,29.0,103.0,1.0,18.0,160.0,8.0,8.0,92.0,1.0,1.0,153.0,1.0,5.0,142.0,2.0,19.0,88.0,1.0,4.0,4.0,1.0,4.0,137.0,2.0,1.0,88.0,1.0,1.0,13.0,1.0,25.0,133.0,4.0,5.0,63.0,0.0,1.0,7.0,1.0,10.0,108.0,1.0,8.0,53.0,0.0,1.0,109.0,1.0,6.0,98.0,2.0,8.0,49.0,0.0,1.0,7.0,1.0,4.0,92.0,2.0,3.0,45.0,0.0,1.0,5.0,1.0,33.0,88.0,1.0,3.0,30.0,0.0,1.0,18.0,1.0,15.0,55.0,1.0,3.0,15.0,0.0,1.0,10.0,1.0,40.0,40.0,4.0,22.0,227.0,3.0,6.0,785.0,1.0,15.0,497.0,2.0,1.0,227.0,3.0,1.0,3.0,1.0,40.0,482.0,2.0,7.0,202.0,2.0,1.0,194.0,1.0,24.0,442.0,1.0,2.0,196.0,2.0,1.0,0.0,1.0,30.0,418.0,0
3,28,1,10.0,880,2013,3,17,6,131,10.0,15.0,93.0,1.0,11.0,785.0,131.0,6.0,142.0,17.0,13.0,93.0,1.0,1.0,161.0,131.0,0.0,136.0,8.0,23.0,93.0,1.0,4.0,3.0,131.0,0.0,136.0,10.0,11.0,93.0,1.0,1.0,194.0,131.0,0.0,136.0,9.0,23.0,93.0,1.0,4.0,0.0,131.0,0.0,136.0,15.0,24.0,93.0,1.0,4.0,45.0,131.0,0.0,136.0,10.0,5.0,93.0,1.0,1.0,18.0,131.0,10.0,136.0,7.0,7.0,83.0,1.0,1.0,162.0,131.0,14.0,126.0,18.0,11.0,77.0,1.0,1.0,401.0,131.0,6.0,112.0,13.0,10.0,77.0,1.0,1.0,264.0,131.0,1.0,106.0,17.0,10.0,76.0,1.0,1.0,103.0,131.0,7.0,105.0,13.0,15.0,75.0,1.0,1.0,153.0,131.0,6.0,98.0,6.0,6.0,75.0,1.0,1.0,4.0,131.0,23.0,92.0,5.0,6.0,67.0,1.0,1.0,13.0,131.0,8.0,69.0,3.0,2.0,59.0,1.0,1.0,7.0,131.0,18.0,61.0,7.0,7.0,41.0,1.0,1.0,109.0,131.0,6.0,43.0,5.0,5.0,35.0,1.0,1.0,7.0,131.0,11.0,37.0,1.0,1.0,25.0,1.0,1.0,5.0,131.0,25.0,26.0,8.0,13.0,0.0,0.0,1.0,18.0,131.0,1.0,1.0,7.0,12.0,0.0,0.0,1.0,10.0,131.0,0.0,0.0,6.0,7.0,89.0,0.0,11.0,785.0,131.0,6.0,165.0,7.0,6.0,83.0,0.0,1.0,3.0,131.0,14.0,159.0,7.0,6.0,75.0,0.0,1.0,194.0,131.0,18.0,145.0,7.0,8.0,67.0,0.0,1.0,0.0,131.0,4.0,127.0,0
4,32,1,10.0,880,2013,3,17,5,6,8.0,2.0,278.0,3.0,1.0,785.0,6.0,33.0,400.0,9.0,3.0,260.0,3.0,1.0,161.0,6.0,27.0,367.0,7.0,2.0,245.0,3.0,1.0,3.0,6.0,24.0,340.0,5.0,2.0,227.0,3.0,1.0,194.0,6.0,26.0,316.0,4.0,3.0,209.0,3.0,1.0,0.0,6.0,27.0,290.0,7.0,23.0,194.0,3.0,4.0,45.0,6.0,18.0,263.0,5.0,3.0,194.0,3.0,1.0,18.0,6.0,19.0,245.0,10.0,3.0,179.0,3.0,1.0,162.0,6.0,27.0,226.0,6.0,22.0,164.0,3.0,4.0,401.0,6.0,10.0,199.0,6.0,5.0,164.0,3.0,1.0,264.0,6.0,12.0,189.0,1.0,1.0,154.0,3.0,1.0,103.0,6.0,25.0,177.0,1.0,2.0,129.0,2.0,1.0,153.0,6.0,30.0,152.0,11.0,1.0,111.0,2.0,1.0,4.0,6.0,25.0,122.0,3.0,5.0,86.0,1.0,1.0,13.0,6.0,11.0,97.0,6.0,3.0,76.0,1.0,1.0,7.0,6.0,23.0,86.0,3.0,2.0,61.0,1.0,1.0,109.0,6.0,18.0,63.0,9.0,7.0,43.0,1.0,1.0,7.0,6.0,8.0,45.0,9.0,9.0,37.0,1.0,1.0,5.0,6.0,2.0,37.0,9.0,1.0,35.0,1.0,1.0,18.0,6.0,25.0,35.0,12.0,5.0,10.0,0.0,1.0,10.0,6.0,10.0,10.0,5.0,4.0,257.0,1.0,1.0,785.0,6.0,22.0,375.0,5.0,2.0,245.0,1.0,1.0,3.0,6.0,28.0,353.0,4.0,3.0,227.0,1.0,1.0,194.0,6.0,15.0,325.0,6.0,5.0,212.0,1.0,1.0,0.0,6.0,18.0,310.0,1
8,34,1,10.0,880,2013,3,17,7,208,9.0,10.0,207.0,1.0,11.0,785.0,208.0,1.0,303.0,5.0,6.0,206.0,1.0,1.0,161.0,208.0,14.0,302.0,5.0,1.0,198.0,1.0,1.0,3.0,208.0,25.0,288.0,7.0,7.0,173.0,0.0,1.0,194.0,208.0,8.0,263.0,5.0,5.0,167.0,0.0,1.0,0.0,208.0,16.0,255.0,8.0,6.0,157.0,0.0,1.0,45.0,208.0,8.0,239.0,12.0,6.0,149.0,0.0,1.0,18.0,208.0,14.0,231.0,8.0,5.0,141.0,0.0,1.0,162.0,208.0,10.0,217.0,4.0,3.0,131.0,0.0,1.0,401.0,208.0,15.0,207.0,5.0,2.0,116.0,0.0,1.0,264.0,208.0,33.0,192.0,10.0,3.0,98.0,0.0,1.0,103.0,208.0,15.0,159.0,6.0,5.0,83.0,0.0,1.0,153.0,208.0,18.0,144.0,5.0,2.0,73.0,0.0,1.0,4.0,208.0,18.0,126.0,12.0,8.0,55.0,0.0,1.0,13.0,208.0,22.0,108.0,8.0,9.0,51.0,0.0,1.0,7.0,208.0,2.0,86.0,5.0,3.0,49.0,0.0,1.0,109.0,208.0,27.0,84.0,11.0,2.0,34.0,0.0,1.0,7.0,208.0,33.0,57.0,5.0,14.0,16.0,0.0,1.0,5.0,208.0,8.0,24.0,5.0,5.0,16.0,0.0,1.0,18.0,208.0,10.0,16.0,18.0,7.0,6.0,0.0,1.0,10.0,208.0,6.0,6.0,11.0,12.0,48.0,1.0,1.0,3.0,6.0,0.0,70.0,5.0,6.0,48.0,1.0,1.0,785.0,6.0,3.0,70.0,8.0,4.0,45.0,1.0,1.0,45.0,6.0,5.0,67.0,13.0,10.0,40.0,1.0,1.0,18.0,6.0,0.0,62.0,1
13,32,1,10.0,880,2013,3,17,4,6,5.0,3.0,122.0,0.0,1.0,785.0,6.0,33.0,400.0,7.0,4.0,107.0,0.0,1.0,161.0,6.0,27.0,367.0,9.0,7.0,95.0,0.0,1.0,3.0,6.0,24.0,340.0,6.0,6.0,89.0,0.0,1.0,194.0,6.0,26.0,316.0,6.0,4.0,81.0,0.0,1.0,0.0,6.0,27.0,290.0,11.0,2.0,69.0,0.0,1.0,45.0,6.0,18.0,263.0,13.0,8.0,51.0,0.0,1.0,18.0,6.0,19.0,245.0,3.0,4.0,47.0,0.0,1.0,162.0,6.0,27.0,226.0,14.0,5.0,35.0,0.0,1.0,401.0,6.0,10.0,199.0,7.0,9.0,25.0,0.0,1.0,264.0,6.0,12.0,189.0,14.0,12.0,23.0,0.0,1.0,103.0,6.0,25.0,177.0,5.0,4.0,23.0,0.0,1.0,153.0,6.0,30.0,152.0,13.0,16.0,11.0,0.0,11.0,4.0,6.0,25.0,122.0,6.0,10.0,11.0,0.0,1.0,13.0,6.0,11.0,97.0,7.0,6.0,10.0,0.0,1.0,7.0,6.0,23.0,86.0,17.0,15.0,2.0,0.0,11.0,109.0,6.0,18.0,63.0,14.0,9.0,2.0,0.0,1.0,7.0,6.0,8.0,45.0,12.0,13.0,0.0,0.0,1.0,5.0,6.0,2.0,37.0,12.0,15.0,0.0,0.0,1.0,18.0,6.0,25.0,35.0,16.0,17.0,0.0,0.0,4.0,10.0,6.0,10.0,10.0,7.0,5.0,118.0,0.0,1.0,785.0,6.0,22.0,375.0,6.0,5.0,108.0,0.0,1.0,3.0,6.0,28.0,353.0,6.0,20.0,98.0,0.0,22.0,194.0,6.0,15.0,325.0,5.0,6.0,98.0,0.0,1.0,0.0,6.0,18.0,310.0,0
16,30,1,10.0,880,2013,3,17,12,10,8.0,6.0,42.0,0.0,11.0,785.0,10.0,12.0,69.0,9.0,8.0,34.0,0.0,1.0,3.0,10.0,6.0,57.0,8.0,9.0,30.0,0.0,11.0,194.0,10.0,2.0,51.0,10.0,11.0,28.0,0.0,1.0,0.0,10.0,1.0,49.0,11.0,11.0,28.0,0.0,1.0,45.0,10.0,0.0,48.0,9.0,8.0,28.0,0.0,11.0,18.0,10.0,12.0,48.0,12.0,19.0,24.0,0.0,9.0,162.0,10.0,4.0,36.0,15.0,7.0,24.0,0.0,1.0,401.0,10.0,6.0,32.0,8.0,14.0,18.0,0.0,12.0,264.0,10.0,6.0,26.0,8.0,6.0,18.0,0.0,1.0,578.0,10.0,8.0,20.0,11.0,11.0,10.0,0.0,1.0,153.0,10.0,0.0,12.0,10.0,9.0,10.0,0.0,11.0,4.0,10.0,2.0,12.0,14.0,21.0,8.0,0.0,3.0,13.0,10.0,0.0,10.0,15.0,7.0,8.0,0.0,11.0,7.0,10.0,6.0,10.0,17.0,13.0,2.0,0.0,11.0,109.0,10.0,0.0,4.0,12.0,13.0,2.0,0.0,11.0,130.0,10.0,0.0,4.0,11.0,15.0,2.0,0.0,11.0,5.0,10.0,0.0,4.0,17.0,11.0,2.0,0.0,11.0,18.0,10.0,1.0,4.0,16.0,9.0,2.0,0.0,11.0,10.0,10.0,3.0,3.0,13.0,13.0,47.0,0.0,1.0,3.0,10.0,0.0,68.0,18.0,12.0,47.0,0.0,11.0,785.0,10.0,0.0,68.0,14.0,16.0,47.0,0.0,4.0,0.0,10.0,8.0,68.0,15.0,18.0,47.0,0.0,44.0,45.0,10.0,0.0,60.0,16.0,9.0,47.0,0.0,1.0,18.0,10.0,2.0,60.0,0
17,37,1,10.0,880,2013,3,17,2,9,3.0,4.0,179.0,2.0,1.0,785.0,9.0,20.0,460.0,3.0,23.0,167.0,2.0,91.0,161.0,9.0,18.0,440.0,2.0,20.0,167.0,2.0,4.0,3.0,9.0,15.0,422.0,2.0,3.0,167.0,2.0,1.0,194.0,9.0,40.0,407.0,1.0,2.0,152.0,2.0,1.0,0.0,9.0,43.0,367.0,2.0,9.0,134.0,2.0,1.0,45.0,9.0,27.0,324.0,7.0,11.0,132.0,2.0,1.0,18.0,9.0,25.0,297.0,11.0,20.0,132.0,2.0,76.0,162.0,9.0,0.0,272.0,7.0,6.0,132.0,2.0,1.0,401.0,9.0,26.0,272.0,11.0,8.0,124.0,2.0,1.0,264.0,9.0,16.0,246.0,3.0,8.0,120.0,2.0,1.0,103.0,9.0,14.0,230.0,2.0,1.0,116.0,2.0,1.0,153.0,9.0,40.0,216.0,19.0,4.0,91.0,1.0,1.0,4.0,9.0,12.0,176.0,4.0,7.0,79.0,1.0,1.0,13.0,9.0,18.0,164.0,2.0,1.0,73.0,1.0,1.0,7.0,9.0,37.0,146.0,12.0,11.0,48.0,0.0,11.0,109.0,9.0,8.0,109.0,3.0,4.0,48.0,0.0,1.0,7.0,9.0,37.0,101.0,7.0,4.0,36.0,0.0,1.0,5.0,9.0,22.0,64.0,4.0,4.0,24.0,0.0,1.0,18.0,9.0,12.0,42.0,5.0,4.0,12.0,0.0,1.0,10.0,9.0,30.0,30.0,2.0,1.0,258.0,1.0,1.0,785.0,9.0,43.0,650.0,4.0,4.0,233.0,0.0,1.0,3.0,9.0,12.0,607.0,3.0,4.0,221.0,0.0,1.0,194.0,9.0,37.0,595.0,4.0,3.0,209.0,0.0,1.0,0.0,9.0,40.0,558.0,0
18,33,1,10.0,880,2013,3,17,10,1,2.0,1.0,188.0,3.0,1.0,785.0,1.0,25.0,378.0,12.0,5.0,163.0,2.0,1.0,161.0,1.0,35.0,353.0,6.0,4.0,153.0,2.0,1.0,3.0,1.0,12.0,318.0,4.0,5.0,141.0,2.0,1.0,194.0,1.0,22.0,306.0,11.0,24.0,131.0,2.0,4.0,0.0,1.0,1.0,284.0,3.0,4.0,131.0,2.0,1.0,45.0,1.0,22.0,283.0,4.0,2.0,119.0,2.0,1.0,18.0,1.0,18.0,261.0,2.0,23.0,101.0,2.0,32.0,162.0,1.0,25.0,243.0,1.0,1.0,101.0,2.0,1.0,401.0,1.0,25.0,218.0,4.0,6.0,76.0,1.0,1.0,264.0,1.0,33.0,193.0,7.0,2.0,68.0,1.0,1.0,103.0,1.0,18.0,160.0,18.0,10.0,50.0,1.0,1.0,153.0,1.0,5.0,142.0,9.0,8.0,49.0,1.0,1.0,4.0,1.0,4.0,137.0,10.0,16.0,45.0,1.0,11.0,13.0,1.0,25.0,133.0,13.0,16.0,45.0,1.0,4.0,7.0,1.0,10.0,108.0,11.0,9.0,45.0,1.0,1.0,109.0,1.0,6.0,98.0,4.0,18.0,43.0,1.0,43.0,7.0,1.0,4.0,92.0,6.0,2.0,43.0,1.0,1.0,5.0,1.0,33.0,88.0,2.0,14.0,25.0,1.0,1.0,18.0,1.0,15.0,55.0,2.0,1.0,25.0,1.0,1.0,10.0,1.0,40.0,40.0,3.0,3.0,270.0,3.0,1.0,785.0,1.0,15.0,497.0,3.0,3.0,255.0,3.0,1.0,3.0,1.0,40.0,482.0,5.0,2.0,240.0,3.0,1.0,194.0,1.0,24.0,442.0,3.0,4.0,222.0,3.0,1.0,0.0,1.0,30.0,418.0,0
20,26,1,10.0,880,2013,3,17,1,9,4.0,6.0,281.0,5.0,1.0,785.0,9.0,20.0,460.0,1.0,2.0,273.0,5.0,1.0,161.0,9.0,18.0,440.0,3.0,3.0,255.0,5.0,1.0,3.0,9.0,15.0,422.0,1.0,1.0,240.0,5.0,1.0,194.0,9.0,40.0,407.0,2.0,1.0,215.0,4.0,1.0,0.0,9.0,43.0,367.0,1.0,1.0,190.0,3.0,1.0,45.0,9.0,27.0,324.0,3.0,1.0,165.0,2.0,1.0,18.0,9.0,25.0,297.0,6.0,22.0,140.0,1.0,91.0,162.0,9.0,0.0,272.0,11.0,2.0,140.0,1.0,1.0,401.0,9.0,26.0,272.0,3.0,4.0,122.0,1.0,1.0,264.0,9.0,16.0,246.0,2.0,5.0,110.0,1.0,1.0,103.0,9.0,14.0,230.0,4.0,3.0,100.0,1.0,1.0,153.0,9.0,40.0,216.0,1.0,21.0,85.0,1.0,6.0,4.0,9.0,12.0,176.0,1.0,4.0,85.0,1.0,1.0,13.0,9.0,18.0,164.0,10.0,4.0,73.0,1.0,1.0,7.0,9.0,37.0,146.0,8.0,6.0,61.0,1.0,1.0,109.0,9.0,8.0,109.0,1.0,1.0,53.0,1.0,1.0,7.0,9.0,37.0,101.0,11.0,5.0,28.0,0.0,1.0,5.0,9.0,22.0,64.0,6.0,11.0,18.0,0.0,1.0,18.0,9.0,12.0,42.0,6.0,2.0,18.0,0.0,1.0,10.0,9.0,30.0,30.0,1.0,2.0,392.0,11.0,1.0,785.0,9.0,43.0,650.0,1.0,24.0,374.0,11.0,29.0,3.0,9.0,12.0,607.0,1.0,1.0,374.0,11.0,1.0,194.0,9.0,37.0,595.0,2.0,1.0,349.0,10.0,1.0,0.0,9.0,40.0,558.0,1
154,27,1,10.0,880,2013,3,17,8,208,18.0,21.0,96.0,0.0,3.0,785.0,208.0,1.0,303.0,4.0,7.0,96.0,0.0,1.0,161.0,208.0,14.0,302.0,10.0,19.0,90.0,0.0,4.0,3.0,208.0,25.0,288.0,11.0,9.0,90.0,0.0,1.0,194.0,208.0,8.0,263.0,7.0,7.0,88.0,0.0,1.0,0.0,208.0,16.0,255.0,5.0,19.0,82.0,0.0,12.0,45.0,208.0,8.0,239.0,8.0,7.0,82.0,0.0,1.0,18.0,208.0,14.0,231.0,9.0,24.0,76.0,0.0,4.0,401.0,208.0,15.0,207.0,2.0,3.0,76.0,0.0,1.0,264.0,208.0,33.0,192.0,15.0,18.0,61.0,0.0,11.0,103.0,208.0,15.0,159.0,10.0,6.0,61.0,0.0,1.0,153.0,208.0,18.0,144.0,4.0,20.0,53.0,0.0,40.0,4.0,208.0,18.0,126.0,7.0,2.0,53.0,0.0,1.0,13.0,208.0,22.0,108.0,5.0,24.0,35.0,0.0,3.0,7.0,208.0,2.0,86.0,4.0,4.0,35.0,0.0,1.0,109.0,208.0,27.0,84.0,7.0,3.0,23.0,0.0,1.0,7.0,208.0,33.0,57.0,10.0,6.0,8.0,0.0,1.0,5.0,208.0,8.0,24.0,7.0,24.0,0.0,0.0,4.0,18.0,208.0,10.0,16.0,3.0,21.0,0.0,0.0,4.0,10.0,208.0,6.0,6.0,19.0,18.0,0.0,0.0,11.0,3.0,4.0,0.0,26.0,13.0,13.0,0.0,0.0,11.0,785.0,4.0,0.0,26.0,18.0,16.0,0.0,0.0,11.0,45.0,4.0,0.0,26.0,19.0,20.0,0.0,0.0,23.0,18.0,4.0,6.0,26.0,12.0,15.0,0.0,0.0,11.0,162.0,4.0,4.0,20.0,0
